,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
2010,2,BHK,Apartment,Pimple Saudagar,Pune,18.59394073,73.79755402,INR,2.0,3.0,Negotiable,Semi-Furnished,1019.0,60000.0,22000.0
2011,1,BHK,Independent House,Dattavadi,Pune,18.49538231,73.83577728,INR,1.0,1.0,Negotiable,Unfurnished,550.0,25000.0,15000.0
2012,3,BHK,Apartment,Tathawade,Pune,18.61235237,73.74703217,INR,3.0,2.0,Negotiable,Semi-Furnished,1250.0,60000.0,32000.0
2013,3,BHK,Apartment,Tathawade,Pune,18.60876274,73.75455475,INR,3.0,2.0,Negotiable,Semi-Furnished,1210.0,75000.0,30000.0
2014,3,BHK,Apartment,Vikas Nagar,Pune,18.66720581,73.72828674,INR,3.0,1.0,Negotiable,Furnished,1600.0,50000.0,25000.0
2015,1,BHK,Villa,Kharadi,Pune,18.55356216,73.94377899,INR,1.0,1.0,Not Negotiable,Semi-Furnished,750.0,9000.0,9000.0
2016,2,BHK,Apartment,Rahatani,Pune,18.60398483,73.79550934,INR,2.0,1.0,Not Negotiable,Semi-Furnished,917.0,50000.0,17000.0
2017,2,BHK,Apartment,Hadapsar,Pune,18.47924995,73.93019867,INR,2.0,0.0,Not Negotiable,Semi-Furnished,960.0,30000.0,13000.0
2018,2,BHK,Apartment,Hadapsar,Pune,18.52124214,73.93656921,INR,2.0,0.0,Negotiable,Semi-Furnished,1050.0,60000.0,25000.0
2019,1,BHK,Independent House,Lohegaon,Pune,18.60510826,73.91703796,INR,1.0,1.0,Not Negotiable,Semi-Furnished,900.0,20000.0,7000.0
2020,3,BHK,Apartment,Ashok Nagar,Pune,18.54262924,73.83267975,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1750.0,200000.0,65000.0
2021,3,BHK,Apartment,Bibwewadi,Pune,18.47744942,73.87300873,INR,2.0,1.0,Negotiable,Semi-Furnished,1400.0,100000.0,30000.0
2022,1,BHK,Independent House,Model Colony,Pune,18.53195953,73.83969879,INR,1.0,1.0,Not Negotiable,Furnished,1000.0,10000.0,9500.0
2023,1,BHK,Apartment,Baner,Pune,18.56468964,73.77624512,INR,1.0,0.0,Not Negotiable,Unfurnished,625.0,60000.0,20000.0
